voie;insee;commune
Allée du 19 Mars 1962;01004;Ambérieu-en-Bugey
Place du 8 Mai 1945;01004;Ambérieu-en-Bugey
Rue du 3 Septembre 1944;01005;Ambérieux-en-Dombes
Rue du 7 Fevrier 44;01012;Aranc
Avenue du 19 Mars 1962;01014;Arbent
Rue du 11 Novembre 1918;01014;Arbent
Rue du 1er Mai;01014;Arbent
Rue du 8 Mai 1945;01014;Arbent
Rue du 19 Mars 1962;01033;Valserhône
Rue du 19 Mars 1962;01033;Valserhône
Rue du 8 Mai;01033;Valserhône
Avenue du 8 Mai 1945;01034;Belley
Allee du 1er Mai;01053;Bourg-en-Bresse
Allée du 8 Mai 1945;01053;Bourg-en-Bresse
Boulevard du 8 Mai 1945;01053;Bourg-en-Bresse
Rue du 14 Juillet 1789;01053;Bourg-en-Bresse
Rue du 19 Mars 1962;01053;Bourg-en-Bresse
Rue du 4 Septembre;01053;Bourg-en-Bresse
Place du-19-Mars 1962;01057;Boz
Route du 6 Avril 1944;01058;Brégnier-Cordon
Rue du 06 Fevrier 1944;01060;Brénod
Rue du 12 Juillet 1944;01068;Cerdon
Place du 19 Mars 1962;01072;Ceyzériat
Place du 8 Mai 1945;01083;Chaneins
Rue du 19 Mars 1962;01093;Châtillon-sur-Chalaronne
Rue du 4 Septembre;01093;Châtillon-sur-Chalaronne
Rue du 16 Avril 1944;01127;Courmangoux
Rue du 18 Juillet 1944;01127;Courmangoux
Impasse du 18 Juin 1944;01147;Domsure
Rue du 21 Juillet 1944;01148;Dortan
Rue du 6 et 7 Fevrier 1944;01155;Évosges
Rue du 19 Aout 1944;01158;Farges
Rue du 19 Mars 1962;01166;Frans
Place du 19 Mars 1962;01175;Gorrevod
Rue du 16 Avril 1944;01177;Grand-Corent
Place du 8 Mai 1945;01184;Hautecourt-Romanèche
Avenue du 11 Novembre 1918;01185;Plateau d'Hauteville
Rue du 11 Novembre;01185;Plateau d'Hauteville
Rue du 7 Septembre;01185;Plateau d'Hauteville
Rue du 7 Septembre 1639;01185;Plateau d'Hauteville
Rue du 8 Mai 1945;01185;Plateau d'Hauteville
Rue du 19 Mars 1962;01194;Jassans-Riottier
Rue du 3 Septembre 1944;01194;Jassans-Riottier
Rue Une de Mai;01194;Jassans-Riottier
Rue du 8 Mai 1945;01202;Lagnieu
Rue du 19 Mars 1962;01211;Lent
Place du 19 Mars 1962;01231;Manziat
Rue du 19 Mars 1962;01232;Marboz
Impasse du 6 Mai 1919;01255;Montagnieu
Rue du 19 Mars 1962;01265;Montréal-la-Cluse
Rue du 8 Mai 45;01265;Montréal-la-Cluse
Place du 3 Septembre;01266;Montrevel-en-Bresse
Rue du 19 Mars 1962;01266;Montrevel-en-Bresse
Rue du 8 Mai 1945;01269;Nantua
Place du 11 Novembre 1943;01283;Oyonnax
Rue du 19 Mars 1962;01283;Oyonnax
Rue du 8 Mai 1945;01283;Oyonnax
Rue du 6 Juin 1944;01289;Péronnas
Rue du 11 Juillet 1944;01303;Poncin
Rue du 11 Novembre 1918;01303;Poncin
Rue du 8 Mai 1945;01303;Poncin
Place du 19 Mars 1962;01304;Pont-d'Ain
Rue du 1er Septembre 1944;01304;Pont-d'Ain
Rue du 8 Mai 1945;01304;Pont-d'Ain
Rue du 11 Novembre;01307;Port
Rue du 19 Mars 1962;01345;Saint-Denis-en-Bugey
Place du 19 Mars 1962;01352;Saint-Étienne-sur-Reyssouze
Rue du 11-Novembre-1918;01366;Sainte-Julie
Rue du 19-Mars-1962;01366;Sainte-Julie
Rue du 13 Août 1944;01370;Saint-Laurent-sur-Saône
Allee du 19 Mars 1962;01379;Saint-Maurice-de-Rémens
Espace du 19 Mars 1962;01380;Saint-Nizier-le-Bouchoux
Place du 14 Juin;01380;Saint-Nizier-le-Bouchoux
Place du 14 Juin 1944;01380;Saint-Nizier-le-Bouchoux
Rue du 19 Mars 1962;01388;Saint-Trivier-de-Courtes
Rue du 1er Mai;01403;Serrières-de-Briord
Rue du 8 Mai 1945;01403;Serrières-de-Briord
Passage du 19 Mars 1962;01426;Val-Revermont
Rue du 18 Juillet 1944;01426;Val-Revermont
Rue du 11 Novembre 1918;01443;Villars-les-Dombes
Rue du 19 Mars 1962;01443;Villars-les-Dombes
Rue du 8 Mai 1945;01443;Villars-les-Dombes
Place du 11 Juillet 1944;01447;Villereversure
Rue du 12 Juin 1944;01457;Vonnas
Rue du 19 Mars 1962;01457;Vonnas
Rue du 8 Mai 1945;01457;Vonnas
Rue du 11 Novembre 1918;02018;Anizy-le-Grand
Rue du 8 Mai 1945;02018;Anizy-le-Grand
Rue du 11 Novembre;02020;Any-Martin-Rieux
Place du 11 Novembre;02028;Athies-sous-Laon
Rue du 14 Juillet;02028;Athies-sous-Laon
Rue du 8 Mai 1945;02028;Athies-sous-Laon
Rue du 18 Juin 1940;02085;Bézu-Saint-Germain
Rue du 11 Novembre 1918;02095;Bohain-en-Vermandois
Rue du Deux Septembre;02103;Boué
Rue du 11 Novembre 1918;02110;Braine
Rue du 8 Mai 1945;02110;Braine
Place du 8 Mai 1945;02112;Brancourt-le-Grand
Rue du 11 Novembre 1918;02112;Brancourt-le-Grand
Place du 14 Juillet;02128;Bruyères-et-Montbérault
Rue du 11 Novembre 1918;02135;Buironfosse
Rue du 8 Mai 1945;02135;Buironfosse
Rue du 8 Mai 1945 Prolongee;02135;Buironfosse
Rue du 8 Mai 1945;02141;La Capelle
Rue du 8 Mai 1945;02157;Chambry
Rue du 18 Juin 1940;02158;Chamouille
Boulevard du 8 Mai 1945;02173;Chauny
Rue du 11 Novembre 1918;02173;Chauny
Rue du 1er Mai;02173;Chauny
Rue du Premier Mai;02173;Chauny
Rue du 11 Novembre 1918;02237;Crécy-sur-Serre
Rue du 8 Mai;02237;Crécy-sur-Serre
Rue du 14 Juillet 1789;02238;Crépy
Impasse du 18 Juin 1940;02239;Crézancy
Rue du 8 Mai 1945;02239;Crézancy
Rue du 11 Novembre 1918;02245;Cuffies
Rue du 8 Mai 1945;02245;Cuffies
Rue du 8 Mai;02286;Esquéhéries
Rue du 8 Mai 1945;02286;Esquéhéries
Rue du 8 Mai 1945;02288;Essigny-le-Petit
Place du 11 Novembre et du 8 Mai 1945;02290;Essômes-sur-Marne
Place du 11 Novembre et du 8 Mai 1945;02290;Essômes-sur-Marne
Rue du 11 Novembre 1918;02295;Étréaupont
Cite du 8 Mai;02298;Étreux
Rue du 2 Septembre;02298;Étreux
Rue du 8 Mai 1945;02305;Fère-en-Tardenois
Rue du 4 Septembre;02334;Fresnoy-le-Grand
